process,hurst_true,repeat,method,estimate,lag1_acf
fGn,0.3,64,custom_rs,0.4115469610322189,-0.24269516394537036
fGn,0.3,64,custom_dfa,0.330179791571009,-0.24269516394537036
fGn,0.3,65,custom_rs,0.40013187436116726,-0.2351079406119098
fGn,0.3,65,custom_dfa,0.2999640603187792,-0.2351079406119098
fGn,0.3,66,custom_rs,0.3821616085372418,-0.2561453948941038
fGn,0.3,66,custom_dfa,0.287255989818869,-0.2561453948941038
fGn,0.3,67,custom_rs,0.3667816767521796,-0.23121467801288562
fGn,0.3,67,custom_dfa,0.27040675819027754,-0.23121467801288562
fGn,0.3,68,custom_rs,0.4088110956114866,-0.2523645495608312
fGn,0.3,68,custom_dfa,0.3299569411649746,-0.2523645495608312
fGn,0.3,69,custom_rs,0.38937467105719387,-0.25313773438912046
fGn,0.3,69,custom_dfa,0.3027158840994377,-0.25313773438912046
fGn,0.3,70,custom_rs,0.3530139045456643,-0.2424137886652569
fGn,0.3,70,custom_dfa,0.2616680375945137,-0.2424137886652569
fGn,0.3,71,custom_rs,0.3999604030386347,-0.22508630130866056
fGn,0.3,71,custom_dfa,0.29580643485569613,-0.22508630130866056
fGn,0.3,72,custom_rs,0.3762373420525708,-0.2501669838569899
fGn,0.3,72,custom_dfa,0.2928652269586612,-0.2501669838569899
fGn,0.3,73,custom_rs,0.3843475944357025,-0.2618589225444016
fGn,0.3,73,custom_dfa,0.30933761548831823,-0.2618589225444016
fGn,0.3,74,custom_rs,0.36830688656032873,-0.23694286534638143
fGn,0.3,74,custom_dfa,0.2587139263727365,-0.23694286534638143
fGn,0.3,75,custom_rs,0.3243192094555208,-0.21718928437494026
fGn,0.3,75,custom_dfa,0.23140560320856884,-0.21718928437494026
fGn,0.3,76,custom_rs,0.4071948566243735,-0.23004421011015358
fGn,0.3,76,custom_dfa,0.3300143369143518,-0.23004421011015358
fGn,0.3,77,custom_rs,0.415885307162253,-0.22666732730306346
fGn,0.3,77,custom_dfa,0.332608916180191,-0.22666732730306346
fGn,0.3,78,custom_rs,0.3690394562684114,-0.25832037357201315
fGn,0.3,78,custom_dfa,0.2875780075874499,-0.25832037357201315
fGn,0.3,79,custom_rs,0.41318526996654004,-0.25450610967795906
fGn,0.3,79,custom_dfa,0.3215338885052082,-0.25450610967795906
fGn,0.3,80,custom_rs,0.40088686677425794,-0.24437088212939914
fGn,0.3,80,custom_dfa,0.29611458753429026,-0.24437088212939914
fGn,0.3,81,custom_rs,0.3978345648464954,-0.26152467260274886
fGn,0.3,81,custom_dfa,0.32719488446929085,-0.26152467260274886
fGn,0.3,82,custom_rs,0.36790043656860844,-0.23899603684826654
fGn,0.3,82,custom_dfa,0.2822512153922422,-0.23899603684826654
fGn,0.3,83,custom_rs,0.38202067045912863,-0.25200937240011695
fGn,0.3,83,custom_dfa,0.3020623567491874,-0.25200937240011695
fGn,0.3,84,custom_rs,0.3955893171164546,-0.21634291141521472
